n2710db;とんでもスキルで異世界放浪メシ
16817330655190042847;ザックリ言うと『男子高校生が名門女子サッカー部のコーチに就任して全国を目指す』そんな話。
1177354054891837424;ココロノアリカ〜35歳男が中学生女子になったその日から〜
16817330650821402716;優しい嘘に別れを告げて、どうか消えない旋律を
1177354054888584500;象の召喚
16817330648150755526;川崎君の華麗（カレー）なお仕事
1177354054880741861;右カウンター赤道より
1177354054884480873;ニート候補生の僕がパパになって、銀髪美少女が僕の娘になる
16817330659742820850;FPS廃人が配信したら配信者の他にVtuberやらプロゲーマーが集合した多国籍配信になった
16817139555610230555;野球部でいじめられ、彼女に振られと散々な僕が転校したら〜転校先の隣の席の美少女はなぜか僕のファンでした〜
16816700427169791094;渡辺政樹の最低最悪な結婚生活
16817330657715885924;Vtuberですが、90日ぶりに復帰したら所属グループが大炎上してました。
16816452220000948268;女子高生が、納屋から発掘したR32に乗る話
16816927860132925844;vtuberなんですけど裏アカバレたらバズりました
16817139558095438767;もしも県内一の底辺不良高校に入学してしまった「普通の少年」が宮本武蔵の『五輪書』を読んだら
16817330659346490792;ノイジーガール　～ちょっとそこの地下アイドルさん適性間違っていませんか？～
1177354054888487512;サッカークラブをつくろう～SC鹿児島物語～
16817330655274435892;小山内さんはエロくなりたい【完結】
1177354054882144417;撃ち落とされるまで、あと何分？
1177354054881744996;逃げた彼女と、ヒモになった僕
1177354055117760146;愛を知りたい僕たちは
1177354054901629921;新型コロナウィルスがパンデミックしたら欧米と中国の戦争が始まった件
1177354055271175233;頭を打ったショックで猫の言葉が分かるようになった件について
16816927861495611293;センターマイク
16816452220210378041;転性のノスタルジア
16816700426955471551;海のシンバル
16817139558923233135;ぼっちな私と美人な転校生の何気ない日常。
1177354054882886305;物性理論大学院生の日常〜研究室は解散しました
1177354054888886382;線の見えない子ども
1177354054882880670;ちっちゃいけど、お国を守ってるつもりです。
1177354054882787354;ＱＫ部 -1213-
16817330648656085875;【ファンタジア文庫より発売中！】放課後はケンカ最強のギャルに連れこまれる生活　彼女たちに好かれて、僕も最強に!?（旧題「ヤンキーギャルにケンカを教わることになった件」）
16817330653064578905;Vtuberの妹のパソコンを勝手に使ったら、配信モードになっていて、視聴者からオルタ化と言われ、私もVtuberデビュー！？
16817330650786154946;【カクヨムコン8】不器用な私たち
16816927860596649713;妻の代わりに僕が赤ちゃん産みますっっ！！  ～妊娠中の妻と旦那の体が入れ替わってしまったら？ 　例え命を落としても、この人の子を産みたい
1177354054886110856;大羽由莉はスナイパーになります！
1177354054886936808;メイキング・オブ・茨城坂晋作（仮タイトル）
16817139555680818001;コンプレックス ～心に傷を抱えた少女の一年間～
1177354055541978485;えっちぃイラストを送ったら、美少女VTuberにスカウトされた件
16816927859338819289;白い鬼と呼ばれた少年〜世界有数の財閥の御曹司　ネット小説にハマって陰キャに憧れる〜
1177354054896541229;アイドルVTuberの監督になろう！
16816700427126799015;罪悪感の果てに
16816700426027348052;雑な音声入力で小説を書いたらこうなった
16816927861283180331;診察室のトホホホホ
16816452220330292490;俺は英語が嫌いだ！～第一部・美少女転校生はマルチリンガル帰国子女～
1177354055317889189;V
1177354054880342231;風のごとく駆け抜けて
16816452218433850456;手取り14万で気弱い私が傲慢系皇女VTuberを演じて,成りあがって行く予定です 　 
16817139556035399931;あの娘が空を見上げる理由ー赦しー
16817330649978711652;転生したら、Vtuberのダミーヘッドマイクだったんだけど質問ある？
1177354054890399778;ヤクザに医官はおりません
1177354054897721872;日本ワインに酔いしれて
1177354054921346692;腹ペコ海香のひとりぼっち料理帖
1177354054881368444;俺と姉貴がオンラインゲームで付き合ってる話
16817330650306183922;死神さんと、俺。
1177354054882311987;ファイトオーバー！
16817330650259150374;くらげの足跡は瑠璃色の空へと続く。
1177354054918860556;不思議な夢、あなたに届けます。
16817330657270080284;紙ひこうきと放物線〜もし世代最高峰のホームランアーチストが"非"強豪校に入学したら〜
16817330650675551877;おとうと
1177354054887253318;恋を知らぬまま死んでゆく
1177354054889038585;翼には心を乗せて
16816700429519800023;君はわたしの歯車
4852201425154955682;アトミック・ガールズ！
1177354054880230810;邪神幼女を餌付けしてみた結果　～てぺよろ！　人喰い邪神幼女の日本グルメライフ～
16816927859423826802;初恋の義姉が俺をいじめている男と付き合い、俺は冤罪で家と学校から追い出される。　もう俺には何もわからない。
1177354054888822143;神木さんちのお兄ちゃん！
16817330652565679067;フレンド
16817330647784994905;本当に信じ合ってたなら違う結末だったかも
16817330654174864832;真夜中のファッションショー
1177354054887834468;書道とは死ぬことと見つけたり（仮）
16816927861713781916;男の僕が何で美少女Vtuberに……⁉
1177354054883090623;元天才サッカープレイヤーの俺は監督業始めます。（改稿版）
1177354055156824167;FPSで伍長だから雑魚だと思った？　実は最強クラスです。僕を追放した奴等は後悔しても、もう遅い。あと、リアルで会ったフレンドはメスガキでした。一緒に仲良くゲームします。
1177354054880962640;異空菓子処『ノン・シュガー』
1177354054881896575;密着!!　カクヨム警察２４時！『転載作者を追え！』
1177354054881206814;１分で読める超短編小説集
1177354054884863955;ココア＆ミルクティー
1177354055051257989;寝取られビデオレターが届いたけど、女に全く面識がない件
1177354054882917617;Blind Blue
16817330659195877772;ノーダメなサレ夫
16816927859760345841;後悔しても・・・
16816452219003540691;Ace in the hole. ―最後の切り札―
16816452221404518334;不幸を背負って、親父は笑顔で逝った
16816700428862942211;後輩として、恋人として
4852201425154963441;ぱらいそ～戦うゲームショップ！～Ｒｅｍａｓｔｅｒ
1177354055325529904;純文学を書きたいだけの奴は大体嘘つき。
1177354054913427072;アリス・イン・ザ・金閣炎上
16816700429331979933;〔受賞作〕青空の下でひとりごと
16817330652299130579;アオの音　〜ぼっちなJDがジャズで青春をやり直す話～　
1177354054940332612;灰色の私が幸せになるまで
1177354054890739229;【本編完結！】ブラック勤務は辛いけど、配達先の幼女が癒し系すぎるっ！
16817139558230271826;永劫輪転ドリームランド
1177354054885528608;世界がデスゲームになったので楽しいです。
1177354054880681711;コンビニで夜勤バイトを始めまして。
16816700429286418017;領怪神犯
16816452220201065984;陰キャぼっち、終末世界で救世主となる
4852201425154938697;常夜ノ国ノ天照
4852201425154929290;僕の妹はバケモノです
16816927859499296158;ゆるコワ！　～無敵の女子高生二人がただひたすら心霊スポットに凸しまくる！～
1177354054890860270;ほねがらみー某所怪談レポートー
1177354054881224487;ブラックホール・ブラックアウト
1177354055279662831;ホラーのオチだけ置いていく
16816452221226474788;無職マンのゾンビサバイバル生活。
1177354054883167536;邪神任侠～仁義なき探索者～
16817330650535006137;幽霊にセクハラしても罪にはならないですよね？
1177354054888822067;ゾンビの蔓延る世界で異能力チートに覚醒した。
1177354054893740972;学校のデッドリー怪談
1177354054883572865;身近にあった【本当にあった怖い話】を集めてみた
16816452220712404213;屍介護　－シカバネカイゴ－
1177354054892033781;〔書籍化〕半実話あやし奇譚（思いもよらない奇妙な体験）
1177354054882251471;格安温泉宿を立て直そうとしたらハーレム状態になったんだけど全員人外なんだ
1177354054882236879;限界集落・オブ・ザ・デッド
16816700429295835722;夜道を歩く時、彼女が隣にいる気がしてならない
1177354054882353483;帝都つくもがたり
4852201425154874808;クトゥルフ神話 探索者たち 鈴森くんの場合
1177354054882793359;空葬テラー
1177354054884898291;神送りの夜
4852201425154993519;ゾンビが跋扈する世界の異世界勇者
16816452218867955293;クトゥルフお母さん食堂
1177354054893768015;【書籍化】妹がいじめられて自殺したので復讐にそのクラス全員でデスゲームをして分からせてやることにした
16816927859508196052;みんなこわい話が大すき
4852201425154936135;仮面の夜鷹の邪神事件簿
16816700429313757172;武装宣教師ヒカリノ
1177354054880513851;限界集落・オブ・ザ・デッド【旧版】
16817330650047919762;【ガチホラー】 アサガオちゃんの観察日記
16816927862251037027;対怪異アンドロイド開発研究室
16816700427963957635;鬼妃秘記(キヒヒキ)
4852201425154980977;北陸クトゥルフ紀行（仮）
1177354054882344682;鶯舌記　－おうぜつき－
16816700429390570373;少女怪異紀行...⛩
16817330651187223908;ナポカ・ヴィレッジ
16816700427486250906;穴を掘る麒麟
1177354054888930424;【書籍版発売中！】怪異の掃除人
1177354054887684281;事故物件に1日だけ住んで、YouTubeで動画配信するアルバイトはじめました。
1177354054883413631;自分ドロップ
16816927861199405686;挧
16816700429553236173;夜、君が啼こうとも
16817330651406543667;碧絃の怪奇録〜誰にも言ってはいけない、不思議で奇妙な話〜
16817139555716691406;僕の妹コレクション
16817139555499753150;邪祓師の腹痛さん
1177354054898519175;想妖匣-ｿｳﾖｳﾊｺ-
1177354054881150863;悪夢はまだ終わらない
1177354055374623622;意味がわかると怖いお話
1177354054884550473;君があり得ないくらい好き好き好き好き好き好き好き好き。
16816927862620469652;走る凶気が私を殺りにくる
16817330654855205386;町の地図には、恐怖がいっぱい
1177354054888627676;ゲーム会社の僕
16817330653882984033;呪いの館で人形に変えられました。その姿で館を永遠にさまようがいいと言われたので快適な豪邸生活を目指そうと思います
16816452219192161720;異端の祝祭
1177354054883562890;夜行奇談
1177354054887625859;オールザサッドヤングメン
16817330656061256050;【デス】死ぬまで実況してみる【ゲーム】
1177354054885111610;海が滴る
16816452219196818055;ヤクザVS死霊ノ館
16816452220482527345;義姉《今カノ》と義妹《元カノ》そして、俺。
1177354054892448157;バス停・オブ・ザ・デッド　～ボクはゾンビゲームにＴＳ転生した！
1177354054894804897;ホラーゲームに転生させるとか、神は俺を嫌っているようだ
16817330647726964186;終末世界になって俺はゾンビになったが、それでも幼馴染だけは絶対守ってみせる！
1177354054880512838;空手バカ、除霊する
16817330651619052761;呪詛遊び
1177354054889211637;俺嫌な奴になります。
16817330650747372891;親友はこっくりさん
1177354054882184593;重い女の重い想い
1177354054890155377;読め
1177354054881672575;血眸　～暗澹たる日々～
1177354054889377957;伊都はかく語りき
16817139554775204635;月（ルナ）は笑う――幻想怪奇蒐集譚
1177354054889204594;星の瞬く
16817139559060270798;ゾンビになったと追放された俺は人類を救えるかもしれないけど人類は救いようがない
16817139557428707150;ホラーな屋敷に閉じ込められたので古流武術で対抗する俺の末路
16817330653953458066;ケッコン
16816410413958792207;ホラーの禁忌を集めてく
16817139557641586860;ヒロインに攻略されないと死ぬゾンビホラー乙女ゲーの攻略対象に転生したんだが!?
1177354054895590171;汗ばむ夜に石を積む
1177354054897487665;森の中の小屋
1177354054881876400;Error【意味が分かると怖い話】
4852201425154949945;退廃思考
1177354055071879427;怪異相談所の店主は今日も語る
1177354054882223491;やしゃ ひめ！
16816927861387906642;巣
16817139558446245939;終末世界を２DKのアパートで
1177354054883539912;怪談レポート
16817139555304985388;逢魔の霧
16817330649319630557;異世界黙示録　～アナザーワールド・オブ・ザ・デッド～
16817330650757697792;ついぐなの人魚は血を泳ぐ
16817330653953235181;消えたぬいぐるみ
1177354054884548155;ダウト
16816700428547745452;ちゃんと死んでね？
1177354054881396059;荊棘―おどろ― 
16817139556746356719;TRPGマスターのオカルト体験記
1177354054887468706;パライソのどん底
1177354054892456643;嗤う泥泪
16817139557525344813;臼殺の童
16817330650073327082;花萎む家
16816700426124103365;#炎上少女
1177354054889596573;【短編連作】ほんの三分だけのホラー
16816700426423570976;ゾンビが出て来たので、とりあえず俺の町を氷の壁で覆ってみる。
1177354054881816317;秋の足音
16816927859283859707;十　二　死　〜エセ占い師と十二の怪事件〜
16817139554810262685;丑三つ時に惡魔は嗤う
1177354054894148809;不条理語りの文月
1177354054889769672;続・怪異の掃除人
1177354054890166650;ポイントがゼロになったら死にます【５分で読書収録作品】【書籍化】
1177354054880829227;北嶋勇の心霊事件簿２～嗤う首～
1177354054886734919;破風荘
16817330654375692965;未完
16817330650812971159;禁足地に吹く風
1177354054884430705;それが造られた華だとしても
1177354054884560304;呪物公園
16817330650163965978;ライターの日記
1177354054883013792;帝都つくもかさね
16817330648713509710;山内くんの呪禁の夏。
1177354054880370399;オリキャラ裁判
1177354054883967218;北嶋勇の心霊事件簿１４～最初の罪～
16817330654156491066;領収書の宛名は「（株）ゲーム・オブ・ザ・ダイニングデッド」で。
16817330649446920797;白は日の色
1177354054886751601;孤島の影（改訂完全版）
1177354054894355620;北嶋勇の心霊事件簿１５ ～最凶の男～
1177354054922100335;振り向けばタコがいる
16816700427292309818;幽霊祓いが飯の種。祓い屋OL、火村悟里の事件簿！
1177354054892281807;幻想街の鬼退治
1177354054883705615;つぶやきが呼んだもの
1177354054883239714;くまのプーさんＶＳ三毛別羆事件の人食い熊
1177354055071896671;東北奇譚
1177354054883326912;法務官ベイル・マーカスの怪奇記録　『人形の祠』
4852201425154915901;世にも奇妙な商品カタログ【ホラー短編集】
1177354054935106858;私をいじめたクラスのみんながぐちゃぐちゃに壊されて殺されるまで
16817139556156270093;デスゲームで本当にあった怖い話
1177354054894986439;お昼におばけを退治する
1177354054881838525;全話オリジナル意味怖シリーズ
1177354054880611001;『蝶と華の契り』
16816927859631994998;その霊に理由はいらない
1177354054886856156;旗の道
16817330654376200502;P・アンラッキー777
16817330651505319304;この村の因習は誰が為に
16816452219103534715;突然メリーって奴から電話がかかってきたんだけど
1177354054880790470;リビングデッド、リビング・リビング・リビング
16816700428734920966;五人の幼馴染
16816927859541706691;カフェで人間観察
1177354054883969006;蛇はどこまでも追いかけてくる
16816452218256795315;シュレディンガーの消えた猫
16817330651088360543;イケメンのサブスク
16817330651741756271;蛇神の死返し　―少女魔が差す―
1177354055076337279;北嶋勇の心霊事件簿１６～地獄の王～
16816700428122609754;怪談蒐集家 城ヶ崎詩織は夜に行く
16816700426575664852;厨子の祝宴
16817330648948138471;最強のヤンキーと孤高の野良猫は死神とともに悪魔と戦う
16817330650551924044;小さな魔女の散歩道
16816452218865999776;そこには存在しない何か
16817330649887472247;サユの死顔　― 少女魔が差す ―
1177354054890126058;恐怖は辛口コメント企画からはじまった
16817139557569876960;俺は今日も異世界で化け物を殺す
1177354054889236766;宇宙は青蘭の夢をみる１（旧題　八重咲探偵の怪奇譚）『アザトースと賢者の石編』〜契約者は悪魔〜
1177354054881021022;雷の王国
16817139555359094398;まりちゃんは檻を作ってる
1177354054895005115;オートマチック・ピープル
1177354054891809359;お清め日和
1177354054922774004;一言怪談集
16816927860125503362;祓い屋令嬢ニコラの困りごと
1177354054904339397;『施設』　更生への道は善意で敷き詰められている
1177354054884209862;帝都つくもちぎり
1177354054881085803;選別ゲーム～命を懸けたデスゲーム～
1177354054883581793;北嶋勇の心霊事件簿１３～始まりの男～
1177354054881618604;北嶋勇の心霊事件簿５～魂喰らい～
16817330655939258751;おごさま
1177354054881063433;北嶋勇の心霊事件簿３～時を超える魔人～
16816700428547589844;廃絶すべし、娑輪馗廻（シャリンキエ）
16817330650516035151;公衆伝播の太郎くん
16816452219770530357;目が覚めたらゾンビが徘徊する世界だったけど幼なじみがくれたギフトでのりきります。              
1177354054891370975;夢ゾンビ牧場
16817330653553383490;へんのや
16816700427332034648;「続」意味がわかると怖いお話
1177354054882852127;帝都つくもあつめ
1177354054884048280;灯籠の村
1177354054917549444;擬態女
16816452218489425875;ある朝、寝台車から降りると
16817330654465897581;化け物抹殺企画
16817330650209031846;ホラフキさんの罰
1177354055088226366;異形『怪』道中
16816452221132540150;畏怖の花言葉
1177354054935829105;八千個の小石
1177354054886540484;めんとりさまー
1177354054881369618;北嶋勇の心霊事件簿４～洞鳴村の悲哀～
1177354054918257756;ある美しい少女の話
16816927862714282595;伊都はかく語りき　―忘れ去られた歩道橋―
16817139558180674062;ZOOM
1177354054935091454;駅に潜むもの〜通学編〜
16817330650826555990;通りゃんせ
16816927861017008181;種
16817330650275389614;ストーカー幽霊 VS. 厄介ガチ恋ヲタク僕
16816452221422933265;放課後、おばけを退治する
16817139558395168342;おそらく、ぬえの仕業
1177354054884153425;名医の目井さん
16816452218249455143;カクヨムの悪魔
16817330655007520727;「知ってはイケナイ。」
16816452219123868327;あなたは何もしなくて大丈夫ですよ。
1177354054882445160;北嶋勇の心霊事件簿８～神の呪い～
16817139555364958941;ひいらぎもどろき祓い　ねぶらまの棺
1177354054885837844;霊感体質な僕と束縛気質な彼女
1177354054882998167;北嶋勇の心霊事件簿１０～ソロモンの指輪～
16816700426506176615;続々・怪異の掃除人
1177354054881957404;オフ会
16817139556454988676;にせもの
16817330650236400626;狸穴神社の縁切り地蔵
16816452221191634672;ハライヤ！
16817330653862317321;ない本屋
1177354054883412870;北嶋勇の心霊事件簿１２～神からの依頼～
1177354054898410165;わたしのいえにはなにもない
16816927861385549272;ZOTTO
1177354054921673116;monkey talk
1177354054935810281;自動販売機の逆襲
4852201425155010624;忌怨　―きえん―
16816927862428344985;『漆黒の慕情』読了後にお読みください。
16817330655937888237;因習村ダンジョン
16816700429310294340;ゆるさない
16816700427747959529;　鞭 とＪＫ
1177354054888552745;墓碑銘カレイドスコープ
16816927861148227999;人間牧場の兼平さん
1177354054881120720;実話怪談を語るけど恥ずかしいから霊感あるとか真顔で言えない私の心霊奇談集
1177354055360840241;【これ】強制ひとりかくれんぼ【終わった】
16816700428868556504;フィクションですから（笑）
16816452218829747703;SOS房総半島　―神話生物シィヤピィェン登場―
1177354054884496425;ねこのおやつ
1177354054882094863;北嶋勇の心霊事件簿７～獣の王～
1177354054890048201;怪奇短編集
16817330656244320554;ザ・デスゲーム
16816700429439149691;左手のための悪手
1177354054882310417;これから小説を書きます
1177354054882939476;隣の部屋
1177354054887761122;のりこさんによろしく
1177354054893442031;ある一途な女の独白
16816927860045057701;漆黒の慕情
1177354054895077544;百合カップルになれないと脱出できない部屋に閉じ込められたお話
1177354054885095815;緒方隆の廻愁奇談録～続章～
1177354054880341034;だるま飼育日記
1177354054882782145;北嶋勇の心霊事件簿９～地の王～
1177354054897580656;無理ゲークリアしたらゾンビ世界になってしまったのですが＊
16816700429085565205;catastrophe
1177354054887459503;カースドテンシード　～予言と呪いと十人の異能乙女
16817139558754889747;トンネルを掘ろう！
1177354054882494579;幼馴染がイソギンチャクと付き合うことになった件
16816452219359223320;フカミドリ
16817330656282560160;あなたはイカを信じますか？
16816700426362397082;××立入禁止区域××
1177354054885840909;どうやら世界が滅亡したようだけれど、想定の範囲内です。
1177354054883768372;言葉ヲ紡グモノ
16816927859585288326;生きたホラー底辺ワナビ小説家ついに爆誕！！『実在する出版社・編集部様に喧嘩を売ってる訳ではありません。御了承下さいm(__)m』
16817139555479933914;必ず「とらすの子」読了後にお読みください。
16816700426465760918;怖いコンビニの話
16817330649283856885;🌋遭難
1177354054881902705;北嶋勇の心霊事件簿６～死霊の誘い～
1177354054917747658;僕らは金属バットで口裂け女と対峙する
1177354054934604595;通学路だけの友だち
16817330651813941265;椿屋敷
1177354054892523181;母が田舎の実家に戻りますので、私もついて行くことになりました―鎮魂歌（レクイエム）は誰の為に―
16816452219326395454;廃校にいた女の子
16817139558427879322;AIにエッチなイラストとかを描かせる
1177354054882126995;穢れた救世主は復讐する
1177354054881029941;【連作掌編集】邪神耳袋
16816700429486444352;鵺のつがい　～その呪詛はどこから感染をはじめたのか～
1177354054881946994;　
1177354054882131476;一度入ると出られない。
16817330652369713169;作ろう！　トロピカル因習アイランド！！
1177354054883270095;北嶋勇の心霊事件簿１１～哀しき少女～
1177354054889696738;ヴァンパイア オブ デッド Vampire of dead 
16816927861835764228;タクシー運転手は二度恐怖する
16817330652578833098;聖者の落角
16817330653940785066;テッドと呼ばれた女
1177354054917812168;送り犬
16817330654080933630;KAC20233  終末時計
16816700429140328487;殺したはずの妻が家にいる――。
16816700426753341158;「これはフィクションです」に端を発する事件について
16816452218489860267;顔のない人々に関する考察
16816452220820807108;マキオの家
16817330650374626402;ホーム・スィート・ホーム
1177354054880770379;邪神異聞「物を書くマシン」
16817330656014386821;S県のおかしな出来事を集めてみた
1177354054934305437;さわる
1177354054890802832;忘谷拾遺
1177354054917796837;これは・・・ですが
16817139555577785980;怪異と生きる、僕等の町
1177354054962972122;蟲のささめく森に
16816700428464959484;山本はヘッピリだけど殺る気はマンマン
16816927861720326731;過去の記録を紐解く
16817330648301167061;そんな婚活に連れてくなっ！！　～幽霊ならギリ二次元とか言い出したオタク友達に連れ回されてるけど、幽霊とかマジ無理！！　極限状態なら武力行使も止む無しだよなっ！！～
16816927862557558719;漆黒の影隠師
1177354054882717798;記憶フロッピー
1177354054880300303;火葬鳥
16817139557439705146;怪獣ホラー　～ウルトラマンが助けに来ない世界で～
16817139556755491092;走る■■が彼女を殺りにくる
1177354054884586338;雪花妃伝～藍帝後宮始末記～
4852201425154872692;うさぎ強盗には死んでもらう
1177354054880209879;王子様は一級死亡フラグ建築士　～城からパクってきた銀のスプーンが黒く変色した件～
1177354054887093418;おとぎ話の悪役令嬢は罪滅ぼしに忙しい
1177354054881142965;貴方はこの本、読めますか？
16817139559105789406;名探偵悪役令嬢　―我、婚約破棄の場で華麗なる推理を堂々と披露せんとす―
1177354054881659409;ホームズvs李書文
1177354054881450675;邪神捜査　-警視庁信仰問題管理室-
1177354054880898057;よくある兄妹-ふたご-の思考実験-thought experiment-
1177354054884614744;ジャンヌダルクと武器商人　～百年戦争の謎～
16817139558880465310;心世界
4852201425154872036;ネッ禁法時代：東京試炸例（トーキョー・バースト・プロトタイプ）#トバプロ
1177354054880665321;ゴリザードリィ～狂ゴリラの試練場
1177354054884568391;ハード・アンロッカー
4852201425154975297;俺さま暗号屋と召使いな私
1177354054881416606;ＴＳ女子になるって、正直結構疲れるもんですよね。
4852201425154887061;ジャンピング・ジャック・ガール
1177354054891348523;その事件の１人目の被害者は、悪役令嬢である
1177354054884487935;雨の庭(続編『霞の庭』執筆中)
1177354054882898592;聖エルザ Anniversary〈記念日〉― GradeUp Version ―
16816452218316086810;アルバイトでいいから付き合って、そう彼女がいったから
1177354054881265936;ミックスベリー殺人事件
1177354054882169362;諜報員明智湖太郎
1177354054954416031;探偵が終わったら、死んでやる
16817330654180622421;雇われ探偵マツリカ
16817330649282726422;麗しのフランケンシュタイン
16816452218374636034;冬野つぐみのオモイカタ
16817330650548452128; あの女の子たちは絶対カップルに違いない！
16817139558312668888;画面の中の美少女へ
1177354054883986803;哲学研究室の午後
1177354054889157727;探偵はサウナで謎をととのえる
1177354054883189613;アルテミスの刃
1177354054881513426;俺はどうやら拉致監禁されたみたいです
16817330647644133565;裏・六諭衍義
16816700426151574785;右から二番目の夏
16817330659414318230;私立探偵の謎解きは盤上で
16817139558790604194;死人語り
16816927860502339974;ロンドの旅 全編
1177354054885926539;誘買い犯
1177354054881051581;七年目の記念日
1177354054891268830;理想の姿
4852201425154878005;深緋の恵投（ふかきあけのけいとう）
1177354054880431033;楽園の子どもたち
1177354054880745794;果てない殺人
16817139554796103681;繰り返し五分
1177354054935247249;シーサイド・スーサイド
16816700427123188943;妖しく闇に近づく薄墨色〜恋愛心理サスペンス〜
1177354054881345950;ぼく
1177354054888686444;愛長医科大医学部 ミステリー事件簿
1177354055311624778;【　　章紋のトバサ　　】
16816700426331711337;自殺判定士　曽根崎都弦の自殺衝動
16816452219122454801;ミステリの書き方講座
1177354054893383564;フラれたので倫敦で魔女の助手始めました
1177354054894572508;友達としかみられない
16816927863278356267;【完結】彷徨える王
1177354054881729491;諜報ジャーナル
16817139554959476668;テレパシー・ブロッカー
16817139554814473951;ダブル・クロス
1177354054895676765;【第一部完結】激闘！異世界警察24時最前線スペシャル！
16817330650792551593;そして友だちになった　――鳩の顔の赤ずきん――
1177354054885428851;刎ねるディスカッション ～推理合戦デスゲーム～
1177354054881940627;風が呼んだ記憶
1177354054881669808;ラーメンの国
1177354054882119480;お前はすでに死んでいる。
16816452218692358344;マギア・ミステリー　魔法少女たちが綴る本格ミステリーデスゲーム
1177354054884170876;電脳カリカチュア
16816452219254631625;駄菓子屋探偵
16816927862997430772;名前のないラブレター
16816700428520219976;神様のメモ帳　ハッピー・ハロウィン
1177354054884077536;その指先に、火を灯す。
1177354054888440847;死がふたりを別つから
16816927861991024854;ヴァンパイア伝説
16816927860646107257;ノアの箱船
1177354054891410598;解かなくてもいい謎、知らなくてもいい推理
16817330654244952899;筋肉の男
1177354054892744228;白い羊と黒鉄の探偵
4852201425154997058;インタビューインテグラ
1177354054880686604;超すいりくらぶの日常は今日も平常運転。
16816700429613047319;カンダタの娘達 
16816927859247882176;夜と海辺のロレム・イプサム
16817330652244798881;令嬢連続誘拐事件
1177354054935148771;【完結】聖女と悪魔：修道長マザー天神ノ宮の朝は祈りからはじまる
1177354054888379864;かみさえ俺を裏切るのか
1177354054882196645;『♂♀探偵 本宮忍の事件ファイル』
1177354054889168237;東堂兄弟の探偵録〜第一話 アントリオンの定理〜
1177354054882333112;よくある高校-school-の相談業務-counseling-
1177354054885024706;死体あっての脚本部
1177354054892335385;ぬいぐるみ犬探偵　リーバーの冒険
1177354054893588266;電音の愛し姫
16817330647886593773;沈黙捜査
1177354054888291494;ハッピーハッピーバースデー
1177354054886515670;PHANTOM HEAVEN   電脳空間捜査官・兎羽野 忍の挨拶 
1177354054886526552;【書籍版発売中】指風鈴連続殺人事件　恋するカナリアと血獄の日記帳
16817330650978665096;紅梅様の仇を討て
1177354054898106464;鋼の捜査官
1177354054883353757;覚書《リコルディ》～フィレンツェ宝飾職人の事件簿～
1177354054881067898;電撃文庫読者参加企画受賞作：めいたんてい
16817330653675989961;彼女のデスゲーム
1177354054881129931;星のかけらの五百円玉
16816927859772135262;探偵の妻が強すぎる ─探偵 我妻強の随想録─
1177354054893805550;犯人の小さなミス
16816700427439605700;殺戮オランウータンin密室in密室
1177354054882196458;ミステリーハント
1177354054883308770;どちらかが彼を〇した
16816927862911636629;僕らの謎解きバレンタイン
1177354055375583668;嘘つきカウンセラーの饒舌推理
16817330650770946158;ロベリアの冷血
1177354054880203515;味覚　第一部
16816927863340765082;令嬢アリス・ガーフィールドの華麗で奇妙な事件簿
16817330650679464598;怖い話…。
16817330653538163289;はゆるの漂流
1177354054880686280;幻の呪い姫
16816927863108906685;ネコ探偵
16816700429273663636;殺人小説の書き方
16817139557324846102;ファルファーラの翼の物語
16817139554952975979;月の花
16817330654466975142;扉のむこうがわ
16817139555825546775;【短編】探偵アパート入居試験
1177354054886096822;オボレちゃんは沈めたい
16816700428824287216;おじさん探偵団と怪人影男爵
16817330653869476650;コノシロ――水属性系男子・魚水海里の事件簿Ⅰ――
16817330648246206751;月見札の男
16816700427867864546;いつしか、キミが、ロリになる
1177354054933900471;死者の通学路
1177354054918409587;エンディング懺悔室
1177354054880950226;名探偵への道
16817330659725623346;主人公の親友ポジに転生した俺、匿名のラブレターを貰って困惑する
1177354054883208519;カレー食べにいきます
1177354054884236172;虜囚達と夜のユリシス
16817330648509980536;東京ダイダラボッチ幻想　〜明智小五郎、詩人の見た「巨人」の謎に挑む〜
16816700427427996783;殺戮猩々ニ関スル件
1177354054880687721;偏執狂の猿にタイプライターを無限に打鍵させたとき、猿のテキストが偶発的にレイ・ブラッドベリを凌駕する確率に関する実験報告
16816927861868233753;死後の世界で生前譚、語られるのは謎解奇譚、理論破綻の推理譚、唖然失笑真相譚、悲嘆感嘆後日譚、ミステリーの超異譚
1177354054880456385;スクール・マーダー・フェスティバル
1177354054880211972;夕闇探偵事件簿　〜懐古ホテル〜
16816700429317927111;モノクロの奏者
16817330648990319827;『犯人』の、正体見たり……
1177354054881644840;名探偵財田成香の事件簿
1177354054886062379;放課後対話篇
1177354054946189977;【短編】シニガタリ
16817139559092534981;営業課長と世界廻る猫
16817330654316119888;復顔師は骨に筋肉を問う
1177354054888290925;ハイスクール・エスピオナージュ！　～パワードスーツはＪＫの夢を見るか～
16817330649401245104;AIは事件を解決できるか？
16816700426433840059;スノージャスミン
1177354054888258713;いつか晴れ姿を
16816452218514367487;全員犯人殺人事件
4852201425154964908;小さな問題
1177354054881515101;ヴィーヴルの眼
16817139555068529527;元カノはアイドル！～彼女はなぜ死ななければならなかったのか
16817330648789967926;摩天楼の狼男
